"main_label","phase_label","person_count","lying_count","moving_count","nearby_count","breathing_count","scenario_note","phase_note","source","estimated_time_sec","frame","num_detected_obj","num_tlvs","packet_len","tlv_summary","has_vital","target_id","range_bin","breath_deviation","heart_rate","breath_rate","raw_radar","raw_vital"
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","0.00","3","0","1","52","1021:4","0","","","","","","RADAR,3,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","0.54","9","0","1","52","1021:4","0","","","","","","RADAR,9,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","1.08","15","0","1","52","1021:4","0","","","","","","RADAR,15,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","1.62","21","3","2","104","1020:44;1021:4","0","","","","","","RADAR,21,3,2,104,1020:44;1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","2.16","27","0","1","52","1021:4","0","","","","","","RADAR,27,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","2.61","32","1","3","232","1020:28;1021:4;1040:136","1","0","15","0.0018","70.3","0.0","RADAR,32,1,3,232,1020:28;1021:4;1040:136","VITAL,32,id=0,rangeBin=15,breathDev=0.0018,heartRate=70.3,breathRate=0.0"
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","3.24","39","0","1","52","1021:4","0","","","","","","RADAR,39,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","3.78","45","0","1","52","1021:4","0","","","","","","RADAR,45,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","4.32","51","0","1","52","1021:4","0","","","","","","RADAR,51,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","4.86","57","1","2","88","1020:28;1021:4","0","","","","","","RADAR,57,1,2,88,1020:28;1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","5.40","63","0","1","52","1021:4","0","","","","","","RADAR,63,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","5.94","69","0","1","52","1021:4","0","","","","","","RADAR,69,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","6.48","75","0","1","52","1021:4","0","","","","","","RADAR,75,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","7.02","81","0","1","52","1021:4","0","","","","","","RADAR,81,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","7.56","87","0","1","52","1021:4","0","","","","","","RADAR,87,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","8.10","93","0","1","52","1021:4","0","","","","","","RADAR,93,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","8.64","99","0","1","52","1021:4","0","","","","","","RADAR,99,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","9.18","105","0","1","52","1021:4","0","","","","","","RADAR,105,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","9.72","111","0","1","52","1021:4","0","","","","","","RADAR,111,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","10.26","117","0","1","52","1021:4","0","","","","","","RADAR,117,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","10.80","123","0","1","52","1021:4","0","","","","","","RADAR,123,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","11.34","129","1","2","88","1020:28;1021:4","0","","","","","","RADAR,129,1,2,88,1020:28;1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","11.88","135","0","1","52","1021:4","0","","","","","","RADAR,135,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","12.42","141","0","1","52","1021:4","0","","","","","","RADAR,141,0,1,52,1021:4",""
"two_people_one_lying_one_becomes_lying","one_lying_one_nearby","2","1","0","1","1","one person lying; another person stays nearby and then lies down","one person lying; another person nearby before lying down","pasted_text","12.96","147","0","1","52","1021:4","0","","","","","","RADAR,147,0,1,52,1021:4",""
